NOMBRE DE LA PELICULA,URL DEL CARTEL
Mi querido monstruo,https://cartelera.elpais.com/pelicula/mi-querido-monstruo/
Los Fabelman,https://cartelera.elpais.com/pelicula/los-fabelman/
Oro puro-Rheingold,https://cartelera.elpais.com/pelicula/oro-puro-rheingold/
Anime Supremacy!,https://cartelera.elpais.com/pelicula/anime-supremacy/
Joyland,https://cartelera.elpais.com/pelicula/joyland/
La niña de la comunión,https://cartelera.elpais.com/pelicula/la-nina-de-la-comunion/
El piloto,https://cartelera.elpais.com/pelicula/el-piloto/
La amiga de mi amiga,https://cartelera.elpais.com/pelicula/la-amiga-de-mi-amiga/
Llaman a la puerta,https://cartelera.elpais.com/pelicula/llaman-a-la-puerta/
Astérix y Obélix: El reino medio,https://cartelera.elpais.com/pelicula/asterix-y-obelix-y-el-reino-medio/
Los hijos de otros,https://cartelera.elpais.com/pelicula/los-hijos-de-otros/
Las paredes hablan,https://cartelera.elpais.com/pelicula/las-paredes-hablan/
Almas en pena de Inisherin,https://cartelera.elpais.com/pelicula/almas-en-pena-de-inisherin/
Tár,https://cartelera.elpais.com/pelicula/tar/
Yuku y la flor del Himalaya,https://cartelera.elpais.com/pelicula/yuku-y-la-flor-del-himalaya/
La ballena (The Whale),https://cartelera.elpais.com/pelicula/la-ballena-the-whale/
The Offering,https://cartelera.elpais.com/pelicula/the-offering/
Lobo feroz,https://cartelera.elpais.com/pelicula/lobo-feroz/
Babylon,https://cartelera.elpais.com/pelicula/babylon/
Hunt. Caza al espía,https://cartelera.elpais.com/pelicula/hunt-caza-al-espia/
Silent Land,https://cartelera.elpais.com/pelicula/silent-land/
El gato con botas: el último deseo,https://cartelera.elpais.com/pelicula/el-gato-con-botas-el-ultimo-deseo/
Broker,https://cartelera.elpais.com/pelicula/broker/
Aftersun,https://cartelera.elpais.com/pelicula/aftersun/
Avatar. El sentido del agua,https://cartelera.elpais.com/pelicula/avatar-el-sentido-del-agua/
El techo amarillo,https://cartelera.elpais.com/pelicula/el-techo-amarillo/
EO,https://cartelera.elpais.com/pelicula/eo/
Mantícora,https://cartelera.elpais.com/pelicula/manticora/
A todo tren 2,https://cartelera.elpais.com/pelicula/a-todo-tren-2/
El menú,https://cartelera.elpais.com/pelicula/el-menu/
Historias para no contar,https://cartelera.elpais.com/pelicula/historias-para-no-contar/
Close,https://cartelera.elpais.com/pelicula/close/
Lo que sabemos,https://cartelera.elpais.com/pelicula/lo-que-sabemos/
Cliff Walkers,https://cartelera.elpais.com/pelicula/cliff-walkers/
La maternal,https://cartelera.elpais.com/pelicula/la-maternal/
Sintiéndolo mucho,https://cartelera.elpais.com/pelicula/sintiendolo-mucho/
As Bestas,https://cartelera.elpais.com/pelicula/as-bestas/
El cuarto pasajero,https://cartelera.elpais.com/pelicula/el-cuarto-pasajero/
Unicorn Wars,https://cartelera.elpais.com/pelicula/unicorn-wars/
Cerdita,https://cartelera.elpais.com/pelicula/cerdita/
"Argentina, 1985",https://cartelera.elpais.com/pelicula/argentina-1985/
Todo a la vez en todas partes,https://cartelera.elpais.com/pelicula/todo-a-la-vez-en-todas-partes/
Cinco lobitos,https://cartelera.elpais.com/pelicula/cinco-lobitos/
Alcarràs,https://cartelera.elpais.com/pelicula/alcarras/
Flee,https://cartelera.elpais.com/pelicula/flee/
Los nenúfares de Monet,https://cartelera.elpais.com/pelicula/los-nenufares-de-monet/
Lo que esconde Silver Lake,https://cartelera.elpais.com/pelicula/lo-que-esconde-silver-lake/
Elle,https://cartelera.elpais.com/pelicula/elle/
Cinema Paradiso,https://cartelera.elpais.com/pelicula/cinema-paradiso/
Titanic,https://cartelera.elpais.com/pelicula/titanic/
1997: Rescate en Nueva York,https://cartelera.elpais.com/pelicula/1997-rescate-en-nueva-york/
Amazon Adventure,https://cartelera.elpais.com/pelicula/amazon-adventure/
Flying Monsters 3D,https://cartelera.elpais.com/pelicula/flying-monsters-3d/
Iván el terrible,https://cartelera.elpais.com/pelicula/ivan-el-terrible/
Persona,https://cartelera.elpais.com/pelicula/persona/
Zazie en el metro,https://cartelera.elpais.com/pelicula/zazie-en-el-metro/
Botticelli y Florencia: el nacimiento de la belleza,https://cartelera.elpais.com/pelicula/botticelli-y-florencia-el-nacimiento-de-la-belleza/
"Goya, el ojo que escucha",https://cartelera.elpais.com/pelicula/goya-el-ojo-que-escucha/
"Labordeta, un hombre sin más",https://cartelera.elpais.com/pelicula/labordeta-un-hombre-sin-mas/
Persona (no) humana,https://cartelera.elpais.com/pelicula/persona-no-humana/
Secrets of The Universe,https://cartelera.elpais.com/pelicula/secrets-of-the-universe/
Tierra y libertad,https://cartelera.elpais.com/pelicula/tierra-y-libertad/
"Un año, una noche",https://cartelera.elpais.com/pelicula/un-ano-una-noche/
Apocalypse Now Redux,https://cartelera.elpais.com/pelicula/apocalypse-now-redux/
Platoon,https://cartelera.elpais.com/pelicula/platoon/
A tiro limpio,https://cartelera.elpais.com/pelicula/a-tiro-limpio/
